RteUid,RsgUid,txtDesig,txtLocDesig,DpnUidSta,NdbUidSta,VorUidSta,DpnUidEnd,NdbUidEnd,VorUidEnd,codeIdSta,geoLatSta,geoLongSta,codeIdEnd,geoLatEnd,geoLongEnd,valMagTrack,newvalMagTrack,valReversMagTrack,newvalReverseMagTrack,valLen,newValLen
415563,483759,UN866,GO-GO,415551,,,413877,,,NELTO,9.795,-29.031666666666666,BUXON,8.483888888888888,-29.783055555555556,44.0,223.0,224.0,43.0,90,90
415563,483761,UN866,GO-GO,413877,,,415560,,,BUXON,8.483888888888888,-29.783055555555556,DEKON,5.216666666666667,-31.631666666666668,45.0,224.0,225.0,44.0,224,224
415635,483798,UN873,GO-GO,415614,,,415623,,,POMAT,13.876666666666667,-24.596666666666664,SADBA,8.941666666666666,-27.334999999999997,221.0,220.0,41.0,40.0,336,336
415635,483800,UN873,GO-GO,415623,,,413893,,,SADBA,8.941666666666666,-27.334999999999997,ASEBA,7.311111111111111,-28.218888888888888,222.0,221.0,42.0,41.0,111,111
415635,483802,UN873,GO-GO,413893,,,415632,,,ASEBA,7.311111111111111,-28.218888888888888,TASIL,4.005,-29.990000000000002,224.0,223.0,44.0,43.0,224,224
495177,495180,UQ300,DN-FK,,,321018,326323,,,LAG,6.708516666666667,3.3274527777777774,ILBAS,4.87,8.620000000000001,111.0,110.0,291.0,290.0,335,335
495177,495252,UQ300,DN-FK,421888,,,495139,,,KOKAM,4.490722222222223,9.567722222222223,POKVA,4.359166666666666,9.95,110.0,109.0,290.0,289.0,24,24
495177,495274,UQ300,DN-FK,495143,,,,,324209,POMKO,4.264166666666667,10.165833333333333,NLY,3.7258055555555556,11.556472222222222,112.0,111.0,292.0,291.0,90,89
495194,495199,UY509,GL-GQ,,,495196,495182,,,ROB,6.231138888888889,-10.365694444444443,GATAX,12.066666666666666,-9.833333333333334,11.0,10.0,191.0,190.0,52,350
495194,495201,UY509,GL-GQ,495182,,,495185,,,GATAX,12.066666666666666,-9.833333333333334,PINVO,12.935833333333333,-9.749722222222221,10.0,9.0,190.0,189.0,52,52
495194,495209,UY509,GL-GQ,495185,,,495188,,,PINVO,12.935833333333333,-9.749722222222221,KEPEG,13.795277777777777,-9.666666666666666,10.0,9.0,190.0,189.0,51,52
495194,495235,UY509,GL-GQ,325561,,,327334,,,ILDES,16.090277777777775,-9.441666666666666,TAPUS,19.460955555555554,-8.455452777777777,19.0,18.0,199.0,198.0,209,209
495317,495327,UY339,FN-FC,495149,,,326458,,,APEMI,-4.326666666666666,11.648055555555555,MESIN,-3.6524194444444444,11.601899999999999,358.0,357.0,178.0,177.0,41,40
495341,495343,UQ200,DN-FC,,,321018,412046,,,LAG,6.708516666666667,3.3274527777777774,GADUV,7.158333333333334,11.828333333333333,,87.0,,267.0,,508
495341,495345,UQ200,DN-FC,412046,,,495154,,,GADUV,7.158333333333334,11.828333333333333,KODOV,7.191111111111112,12.655833333333334,88.0,87.0,268.0,267.0,49,49
495341,495353,UQ200,DN-FC,495154,,,495157,,,KODOV,7.191111111111112,12.655833333333334,ININA,7.2252777777777775,13.563611111111111,88.0,87.0,268.0,267.0,54,54
495341,495361,UQ200,DN-FC,495157,,,495161,,,ININA,7.2252777777777775,13.563611111111111,MENAX,7.2575,14.456944444444444,88.0,87.0,268.0,267.0,54,53
495341,495369,UQ200,DN-FC,495161,,,326938,,,MENAX,7.2575,14.456944444444444,ONIMA,7.2924999999999995,15.49861111111111,88.0,87.0,268.0,267.0,62,62
495341,495389,UQ200,DN-FC,325978,,,495164,,,OPOLA,7.297605555555555,16.357844444444446,BIDON,7.280747222222222,17.23781111111111,91.0,89.0,271.0,269.0,52,52
495341,495409,UQ200,DN-FC,495164,,,495167,,,BIDON,7.280747222222222,17.23781111111111,VOLKO,7.2116750000000005,20.843313888888886,91.0,89.0,271.0,269.0,214,215
495341,495462,UQ200,DN-FC,495167,,,326374,,,VOLKO,7.2116750000000005,20.843313888888886,IPISU,7.194555555555556,21.736872222222225,91.0,88.0,271.0,268.0,54,53
495341,495472,UQ200,DN-FC,326374,,,327400,,,IPISU,7.194555555555556,21.736872222222225,TITAS,7.282522222222222,23.177200000000003,86.0,84.0,266.0,264.0,86,86
495732,495734,UY333,DN-DR,495725,,,495728,,,UBEVA,13.743611111111111,4.747222222222223,DISPI,15.247777777777777,5.0905555555555555,13.0,12.0,193.0,192.0,92,92
